Ordem;Operação;Chave de controle;Centro de trabalho;Txt.breve operação;Quantidade operação (MEINH);Qtd.boa confirmada (MEINH);Refugo confirmado (MEINH);Confirmação atividade 2 (ILE02);Data início real de execução;Data fim real da execução
2785082;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);3.000;0;0;0,000;;
2794804;0031;ZP26;IB324528;APONTAMENTO WASTE - SFC;1.100;0;132;0,000;22/07/2024;22/07/2024
2794804;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;1.100;1.102;0;9,918;02/05/2024;02/05/2024
2794804;0020;ZP04;IB023610;JATEAR;1.100;1.102;0;11,020;02/05/2024;02/05/2024
2794804;0030;ZP04;IB324528;RETIFICAR FACE;1.100;1.102;0;15,428;02/05/2024;02/05/2024
2794804;0035;ZP05;IB-TXT01;OLEAR;1.100;0;0;0,000;;
2794804;0040;ZP01;IB324712;RETIFICAR DIÂMETRO EXTERNO;1.100;1.099;3;421;02/05/2024;03/05/2024
2794804;0050;ZP28;IB-ENV01;ENV. TERCEIRO;1.100;1.075;0;0,000;02/05/2024;03/05/2024
2794804;0051;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;1.100;1.075;0;0,000;04/05/2024;04/05/2024
2794804;0052;ZP05;IB-REC01;REC. TERCEIRO;1.100;0;0;0,000;;
2794804;0060;ZP01;IB329112;RET/ LAP PISTA;1.100;1.110;0;226;03/05/2024;04/05/2024
2794804;1000;ZP10;IB329900;QA/LOG/SCH;1.100;965;0;50,180;06/05/2024;03/07/2024
2794804;1001;ZP05;IB-CPL01;MAP-docs ADD, veja Procella (IT, PC,...);1.100;0;0;0,000;;
2794806;0031;ZP26;IB324528;APONTAMENTO WASTE - SFC;2.030;0;183;0,000;15/05/2024;15/05/2024
2794806;0010;ZP04;IB323525;TRATAMENTO TÉRMICO;2.030;2.013;0;18,117;30/04/2024;15/05/2024
2794806;0020;ZP04;IB023610;JATEAR;2.030;2.013;0;18,117;30/04/2024;15/05/2024
2794806;0030;ZQ04;IB324528;RETIFICAR FACE;2.030;2.013;0;28,182;30/04/2024;15/05/2024
2794806;0035;ZP05;IB-TXT01;OLEAR;2.030;0;0;0,000;;
2794806;0040;ZP04;IB324712;RETIFICAR DIÂMETRO EXTERNO;2.030;366;20;91,134;30/04/2024;15/05/2024
2794806;0050;ZP28;IB-ENV01;ENV. TERCEIRO;2.030;1.993;0;0,000;30/04/2024;02/05/2024
2794806;0051;ZP07;IB008838;APLICAR CORROTECT / DESIDROGENAR KOES;2.030;1.993;0;0,000;02/05/2024;04/05/2024
2794806;0052;ZP05;IB-REC01;REC. TERCEIRO;2.030;0;0;0,000;;
